approach,field,precision,recall,f1,coverage
finetuned_distilbert,participants,0.8548278388278387,0.38162561914670556,0.49737070588659626,0.92
finetuned_distilbert,interventions,0.6626524265208475,0.8323829365079364,0.6904323536119494,0.98
finetuned_distilbert,outcomes,0.8104367984630155,0.734393331424055,0.7452030684916671,1.0
